complaint_id,complaint_date,market,channel,product_line,root_cause,severity,resolution_days,resolved,escalated_to_regulator,repeat_complaint
C142034,2024-08-11,SG,Call,Rewards & Membership,Rewards/points not credited,Low,3.9,True,False,True
C108284,2024-08-11,SG,Chat,Merchant Services,App/digital platform bug,Low,4.2,True,False,False
C143042,2024-08-11,UK,Call,Travel & Lifestyle,Fraud/unauthorized charge handling,Low,11.6,True,False,False
C136919,2024-08-11,AU,Call,Merchant Services,Delayed dispute resolution,High,3.7,False,False,False
C116452,2024-08-11,US,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,7.1,True,False,False
C127773,2024-08-11,IN,Call,Billing & Statements,Agent miscommunication,Low,16.5,True,False,False
C127987,2024-08-11,US,Chat,Digital/App,Fraud/unauthorized charge handling,Medium,14.8,True,False,False
C143623,2024-08-11,MX,Call,Merchant Services,Delayed dispute resolution,Low,11.1,True,False,False
C147657,2024-08-11,CA,Chat,Rewards & Membership,Billing/charge discrepancy,Low,2.0,True,False,False
C137059,2024-08-11,SG,Chat,Merchant Services,Rewards/points not credited,Low,1.1,True,False,False
C102216,2024-08-11,US,Chat,Billing & Statements,Rewards/points not credited,Low,7.5,True,False,False
C118451,2024-08-11,IN,Email,Card Services,Fraud/unauthorized charge handling,High,34.5,True,True,False
C140958,2024-08-11,US,Call,Digital/App,Agent miscommunication,Low,1.6,True,False,False
C139482,2024-08-11,UK,Chat,Digital/App,App/digital platform bug,High,3.6,True,False,True
C130224,2024-08-11,US,Call,Card Services,App/digital platform bug,Medium,21.0,True,False,False
C110582,2024-08-11,SG,Social,Merchant Services,Billing/charge discrepancy,Low,6.2,True,False,False
C108872,2024-08-11,AU,Email,Digital/App,Billing/charge discrepancy,Medium,8.3,True,False,False
C128907,2024-08-11,UK,Social,Digital/App,Agent miscommunication,Medium,0.4,True,True,False
C100987,2024-08-11,US,Call,Card Services,Delayed dispute resolution,Medium,7.8,True,False,False
C123334,2024-08-11,US,Chat,Rewards & Membership,Fraud/unauthorized charge handling,Low,4.0,True,False,False
C106819,2024-08-11,US,Chat,Digital/App,Billing/charge discrepancy,Medium,3.1,True,False,False
C116739,2024-08-11,CA,Email,Card Services,Delayed dispute resolution,Medium,7.2,True,False,False
C102156,2024-08-11,UK,Call,Digital/App,App/digital platform bug,Low,4.2,False,False,False
C112212,2024-08-11,US,Call,Travel & Lifestyle,Privacy/data handling concern,Low,0.1,True,True,False
C145696,2024-08-11,SG,Call,Digital/App,Agent miscommunication,High,4.3,False,False,False
C128826,2024-08-11,US,Chat,Card Services,Rewards/points not credited,Medium,1.7,True,False,False
C132842,2024-08-11,US,Call,Merchant Services,Privacy/data handling concern,Medium,7.4,True,False,False
C135040,2024-08-11,US,Chat,Digital/App,Rewards/points not credited,Medium,9.3,True,False,False
C120865,2024-08-11,AU,Chat,Billing & Statements,Billing/charge discrepancy,Low,0.8,True,False,False
C142147,2024-08-11,UK,Email,Billing & Statements,Privacy/data handling concern,Low,2.7,True,False,False
C102237,2024-08-11,US,Call,Merchant Services,Rewards/points not credited,High,3.1,True,False,False
C129904,2024-08-12,US,Call,Digital/App,Billing/charge discrepancy,High,1.4,True,False,False
C129155,2024-08-12,IN,Call,Merchant Services,Billing/charge discrepancy,Medium,1.9,True,False,False
C135998,2024-08-12,IN,Chat,Billing & Statements,Agent miscommunication,Low,4.5,False,False,False
C146650,2024-08-12,MX,Chat,Billing & Statements,Billing/charge discrepancy,Medium,2.4,True,False,False
C100234,2024-08-12,US,Call,Travel & Lifestyle,Agent miscommunication,Medium,11.6,True,False,False
C100251,2024-08-12,AU,Email,Card Services,App/digital platform bug,Low,15.7,True,False,True
C137951,2024-08-12,US,Social,Travel & Lifestyle,Rewards/points not credited,Low,2.7,True,False,False
C125010,2024-08-12,AU,Chat,Billing & Statements,Billing/charge discrepancy,Low,1.2,True,False,False
C111934,2024-08-12,AU,Chat,Digital/App,Agent miscommunication,Low,1.2,True,False,False
C144933,2024-08-12,UK,Chat,Rewards & Membership,Rewards/points not credited,High,1.8,True,False,False
C148009,2024-08-12,US,Call,Billing & Statements,Delayed dispute resolution,Medium,1.2,True,False,False
C147307,2024-08-12,US,Chat,Rewards & Membership,App/digital platform bug,Medium,5.5,True,False,False
C145537,2024-08-12,US,Call,Merchant Services,Agent miscommunication,Low,3.5,False,False,False
C128629,2024-08-12,UK,Social,Travel & Lifestyle,Privacy/data handling concern,Low,5.5,True,False,False
C141231,2024-08-12,US,Call,Merchant Services,Billing/charge discrepancy,Medium,12.3,True,False,False
C145023,2024-08-12,UK,Social,Digital/App,Billing/charge discrepancy,Low,8.5,True,False,False
C112367,2024-08-12,UK,Chat,Billing & Statements,Billing/charge discrepancy,Low,7.1,True,False,False
C145617,2024-08-12,IN,Call,Digital/App,Delayed dispute resolution,Medium,20.1,False,False,False
C125184,2024-08-12,IN,Social,Merchant Services,Fraud/unauthorized charge handling,Medium,3.4,True,False,False
C126092,2024-08-12,US,Call,Digital/App,Delayed dispute resolution,High,16.7,True,False,False
C147706,2024-08-12,US,Call,Merchant Services,Privacy/data handling concern,Medium,1.9,True,False,False
C100286,2024-08-12,US,Call,Digital/App,Agent miscommunication,Medium,1.5,True,False,False
C141213,2024-08-12,US,Email,Digital/App,Billing/charge discrepancy,Low,1.9,True,False,False
C128540,2024-08-12,SG,Email,Rewards & Membership,Agent miscommunication,High,2.8,True,False,False
C128262,2024-08-12,AU,Chat,Rewards & Membership,Agent miscommunication,High,6.5,True,True,False
C120028,2024-08-12,US,Call,Digital/App,Billing/charge discrepancy,Low,3.1,True,False,False
C140446,2024-08-12,US,Email,Billing & Statements,Billing/charge discrepancy,Low,2.8,True,False,False
C148208,2024-08-12,UK,Chat,Rewards & Membership,Rewards/points not credited,Medium,2.8,True,False,False
C107709,2024-08-12,CA,Call,Card Services,Billing/charge discrepancy,Low,6.8,True,False,False
C148545,2024-08-12,AU,Chat,Rewards & Membership,Billing/charge discrepancy,High,0.3,True,False,False
C110542,2024-08-12,US,Call,Merchant Services,Agent miscommunication,Low,4.7,True,False,False
C142157,2024-08-12,US,Chat,Billing & Statements,Rewards/points not credited,High,2.5,True,False,True
C135226,2024-08-12,UK,Chat,Digital/App,Billing/charge discrepancy,High,2.8,True,False,False
C133219,2024-08-12,CA,Email,Digital/App,Billing/charge discrepancy,Low,0.7,True,False,False
C112861,2024-08-12,US,Call,Merchant Services,Agent miscommunication,Low,9.5,True,False,False
C119196,2024-08-12,AU,Email,Billing & Statements,Billing/charge discrepancy,Low,2.2,True,False,False
C133166,2024-08-12,MX,Call,Merchant Services,Other,Low,1.2,True,False,False
C108517,2024-08-12,UK,Chat,Digital/App,Agent miscommunication,Low,2.6,True,False,False
C134844,2024-08-12,CA,Call,Travel & Lifestyle,Other,Low,5.8,True,False,False
C143409,2024-08-12,UK,Email,Travel & Lifestyle,Fraud/unauthorized charge handling,High,8.6,True,False,False
C148656,2024-08-12,AU,Email,Travel & Lifestyle,Agent miscommunication,Low,0.8,True,False,False
C114866,2024-08-12,IN,Call,Billing & Statements,Fraud/unauthorized charge handling,Low,11.1,True,False,False
C102433,2024-08-12,US,Email,Merchant Services,Billing/charge discrepancy,Medium,0.7,True,False,False
C134156,2024-08-12,US,Call,Travel & Lifestyle,App/digital platform bug,Low,9.6,True,False,False
C108579,2024-08-12,US,Call,Rewards & Membership,Other,Low,1.1,True,False,False
C142441,2024-08-12,UK,Chat,Merchant Services,Privacy/data handling concern,Low,2.3,True,True,True
C142513,2024-08-12,UK,Call,Billing & Statements,App/digital platform bug,Medium,4.8,True,False,False
C113613,2024-08-12,US,Call,Card Services,Agent miscommunication,Low,2.5,True,False,False
C101424,2024-08-12,US,Chat,Merchant Services,App/digital platform bug,Medium,7.6,True,False,False
C149248,2024-08-12,AU,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.9,True,False,False
C110747,2024-08-12,IN,Social,Travel & Lifestyle,Agent miscommunication,Low,2.2,True,False,True
C135699,2024-08-12,US,Chat,Merchant Services,Billing/charge discrepancy,Low,3.9,True,False,True
C134690,2024-08-12,SG,Call,Digital/App,Delayed dispute resolution,Low,7.1,True,False,False
C131815,2024-08-12,SG,Social,Billing & Statements,Rewards/points not credited,Low,4.1,True,False,False
C107463,2024-08-12,US,Call,Travel & Lifestyle,Fraud/unauthorized charge handling,Low,2.0,True,False,False
C131188,2024-08-12,US,Call,Travel & Lifestyle,Delayed dispute resolution,Low,18.1,False,False,False
C101323,2024-08-12,UK,Email,Card Services,Fraud/unauthorized charge handling,Low,4.4,True,False,False
C141995,2024-08-12,UK,Call,Card Services,Fraud/unauthorized charge handling,Medium,3.8,True,False,False
C141882,2024-08-12,UK,Chat,Merchant Services,Rewards/points not credited,High,2.0,True,True,False
C143736,2024-08-12,US,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,12.2,True,False,False
C123108,2024-08-12,AU,Chat,Merchant Services,Billing/charge discrepancy,Medium,0.6,True,False,False
C123088,2024-08-12,MX,Call,Digital/App,Billing/charge discrepancy,Low,6.8,True,False,False
C105156,2024-08-12,US,Call,Card Services,Delayed dispute resolution,Low,6.5,False,False,False
C127801,2024-08-12,CA,Email,Digital/App,Billing/charge discrepancy,Medium,0.9,True,False,False
C131181,2024-08-12,AU,Chat,Card Services,Billing/charge discrepancy,High,1.3,True,False,False
C104068,2024-08-13,US,Social,Billing & Statements,Delayed dispute resolution,Medium,8.0,True,False,True
C114317,2024-08-13,IN,Call,Card Services,Delayed dispute resolution,Low,16.4,True,False,False
C117055,2024-08-13,US,Call,Rewards & Membership,App/digital platform bug,Low,2.2,True,False,True
C148643,2024-08-13,US,Call,Card Services,Billing/charge discrepancy,Low,1.7,True,False,False
C131047,2024-08-13,CA,Chat,Digital/App,Privacy/data handling concern,Low,10.8,True,False,False
C149621,2024-08-13,US,Chat,Rewards & Membership,Billing/charge discrepancy,Low,9.4,True,False,False
C142085,2024-08-13,US,Social,Travel & Lifestyle,Billing/charge discrepancy,High,0.2,True,False,False
C113840,2024-08-13,MX,Email,Card Services,Billing/charge discrepancy,Medium,1.6,True,False,False
C147543,2024-08-13,IN,Email,Travel & Lifestyle,App/digital platform bug,High,8.2,True,False,False
C105170,2024-08-13,UK,Call,Merchant Services,Agent miscommunication,Medium,1.5,True,False,True
C131171,2024-08-13,CA,Chat,Digital/App,Billing/charge discrepancy,High,2.4,True,True,False
C114517,2024-08-13,CA,Call,Digital/App,Billing/charge discrepancy,High,0.7,True,False,False
C111747,2024-08-13,SG,Chat,Digital/App,Delayed dispute resolution,Medium,3.6,True,False,False
C109715,2024-08-13,CA,Call,Billing & Statements,Privacy/data handling concern,Low,2.7,False,False,False
C128030,2024-08-13,UK,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,5.5,True,False,False
C111259,2024-08-13,MX,Call,Billing & Statements,App/digital platform bug,Medium,26.0,True,False,False
C129373,2024-08-13,UK,Chat,Merchant Services,Privacy/data handling concern,Low,0.7,True,False,False
C102979,2024-08-13,UK,Chat,Digital/App,Delayed dispute resolution,Low,3.8,True,False,False
C121874,2024-08-13,SG,Call,Billing & Statements,Delayed dispute resolution,Medium,16.6,True,False,False
C103477,2024-08-13,IN,Call,Card Services,Fraud/unauthorized charge handling,Medium,21.3,True,False,False
C143993,2024-08-13,US,Email,Card Services,Rewards/points not credited,High,4.6,True,True,False
C111597,2024-08-13,US,Call,Card Services,Billing/charge discrepancy,Medium,0.3,False,False,False
C117009,2024-08-13,US,Chat,Rewards & Membership,Billing/charge discrepancy,Low,0.6,True,False,False
C115531,2024-08-13,UK,Chat,Rewards & Membership,Billing/charge discrepancy,Low,4.3,False,False,False
C125130,2024-08-13,UK,Social,Billing & Statements,Fraud/unauthorized charge handling,Medium,2.6,True,False,False
C126210,2024-08-13,AU,Call,Billing & Statements,Billing/charge discrepancy,Medium,1.8,True,False,False
C125644,2024-08-13,UK,Chat,Rewards & Membership,Agent miscommunication,Medium,3.5,True,False,False
C131586,2024-08-13,AU,Call,Digital/App,Delayed dispute resolution,Medium,11.1,True,False,False
C106773,2024-08-13,AU,Chat,Travel & Lifestyle,Billing/charge discrepancy,High,4.2,True,True,False
C109268,2024-08-13,US,Call,Digital/App,Billing/charge discrepancy,Low,1.0,True,False,False
C100438,2024-08-13,AU,Call,Billing & Statements,App/digital platform bug,Medium,16.2,True,False,False
C142754,2024-08-13,US,Email,Digital/App,Fraud/unauthorized charge handling,Low,13.8,True,False,False
C119800,2024-08-13,UK,Call,Rewards & Membership,Privacy/data handling concern,Low,2.4,True,False,False
C144937,2024-08-13,IN,Call,Card Services,App/digital platform bug,Low,18.4,True,False,False
C144369,2024-08-13,US,Chat,Digital/App,App/digital platform bug,High,2.3,True,True,True
C123497,2024-08-13,AU,Call,Merchant Services,Rewards/points not credited,High,3.3,True,True,False
C102058,2024-08-13,SG,Chat,Rewards & Membership,Fraud/unauthorized charge handling,Low,15.4,True,False,False
C109930,2024-08-13,IN,Call,Digital/App,Rewards/points not credited,Low,4.3,True,False,False
C142929,2024-08-13,US,Chat,Merchant Services,Agent miscommunication,Low,1.9,True,False,False
C148444,2024-08-13,CA,Call,Merchant Services,Agent miscommunication,High,0.8,False,True,False
C108348,2024-08-13,IN,Call,Merchant Services,Rewards/points not credited,High,7.3,True,False,False
C116475,2024-08-13,US,Call,Digital/App,Delayed dispute resolution,Medium,7.6,True,False,False
C102135,2024-08-13,IN,Social,Billing & Statements,Agent miscommunication,Medium,4.7,True,False,False
C129469,2024-08-13,IN,Call,Billing & Statements,App/digital platform bug,Low,13.5,True,False,False
C130360,2024-08-13,US,Chat,Billing & Statements,Fraud/unauthorized charge handling,Low,13.5,True,False,False
C125255,2024-08-13,IN,Chat,Merchant Services,Rewards/points not credited,Low,0.9,True,False,False
C112219,2024-08-13,US,Call,Rewards & Membership,Fraud/unauthorized charge handling,Low,2.5,True,False,False
C101741,2024-08-13,MX,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,6.0,True,False,False
C131820,2024-08-13,IN,Call,Rewards & Membership,Other,Low,2.1,True,False,False
C109875,2024-08-13,US,Social,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,2.2,True,False,False
C102075,2024-08-13,US,Email,Billing & Statements,App/digital platform bug,Medium,4.4,True,False,False
C123551,2024-08-13,IN,Chat,Digital/App,App/digital platform bug,High,19.5,False,True,False
C111638,2024-08-14,US,Chat,Digital/App,Billing/charge discrepancy,Low,6.2,True,False,False
C149879,2024-08-14,US,Call,Rewards & Membership,Delayed dispute resolution,Low,16.6,True,False,False
C131453,2024-08-14,US,Call,Rewards & Membership,Agent miscommunication,Low,5.6,True,False,False
C146062,2024-08-14,SG,Call,Digital/App,Billing/charge discrepancy,Low,7.3,True,False,False
C142122,2024-08-14,CA,Call,Merchant Services,Agent miscommunication,Medium,1.0,True,False,False
C105023,2024-08-14,UK,Call,Rewards & Membership,App/digital platform bug,High,7.3,True,True,False
C143714,2024-08-14,US,Email,Card Services,Privacy/data handling concern,High,6.4,True,False,False
C146043,2024-08-14,US,Chat,Travel & Lifestyle,Delayed dispute resolution,Low,5.8,True,False,False
C136545,2024-08-14,UK,Chat,Card Services,Delayed dispute resolution,Medium,2.9,True,False,False
C105068,2024-08-14,US,Social,Card Services,App/digital platform bug,Low,8.5,True,False,False
C127139,2024-08-14,UK,Social,Card Services,Billing/charge discrepancy,Low,3.0,True,False,False
C144826,2024-08-14,US,Email,Billing & Statements,Billing/charge discrepancy,Medium,5.6,True,False,False
C145943,2024-08-14,US,Call,Billing & Statements,Agent miscommunication,Medium,1.7,True,False,False
C131726,2024-08-14,UK,Call,Merchant Services,Billing/charge discrepancy,Low,1.2,True,False,False
C123350,2024-08-14,AU,Email,Merchant Services,Delayed dispute resolution,Low,10.5,True,False,True
C114179,2024-08-14,AU,Call,Billing & Statements,App/digital platform bug,Medium,6.7,True,False,False
C143747,2024-08-14,CA,Social,Merchant Services,Billing/charge discrepancy,Medium,2.7,True,False,False
C115685,2024-08-14,US,Chat,Digital/App,Billing/charge discrepancy,Medium,2.0,True,False,False
C147781,2024-08-14,US,Call,Travel & Lifestyle,App/digital platform bug,Medium,11.2,True,False,False
C142210,2024-08-14,CA,Call,Card Services,Agent miscommunication,Low,0.1,True,False,False
C103631,2024-08-14,IN,Call,Digital/App,Fraud/unauthorized charge handling,Low,7.6,True,False,False
C145750,2024-08-14,MX,Call,Card Services,Billing/charge discrepancy,Low,1.5,True,False,False
C107022,2024-08-14,US,Email,Rewards & Membership,Billing/charge discrepancy,Low,5.3,True,False,False
C106810,2024-08-14,US,Call,Digital/App,Billing/charge discrepancy,High,2.1,True,False,False
C110439,2024-08-14,CA,Call,Rewards & Membership,Delayed dispute resolution,Low,8.9,True,False,False
C129995,2024-08-14,IN,Call,Merchant Services,App/digital platform bug,Medium,7.6,True,False,False
C137345,2024-08-14,IN,Email,Billing & Statements,Rewards/points not credited,Low,2.6,True,False,False
C100907,2024-08-14,CA,Chat,Merchant Services,Delayed dispute resolution,Medium,1.6,True,False,False
C104132,2024-08-14,US,Call,Digital/App,Rewards/points not credited,Low,1.1,True,False,False
C135537,2024-08-14,IN,Email,Billing & Statements,Billing/charge discrepancy,Medium,7.8,True,False,False
C100389,2024-08-14,CA,Chat,Billing & Statements,Delayed dispute resolution,Medium,8.5,True,False,False
C126492,2024-08-14,US,Call,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,10.0,True,False,False
C138727,2024-08-14,IN,Call,Billing & Statements,Rewards/points not credited,Low,1.0,True,False,False
C120819,2024-08-14,IN,Call,Card Services,Billing/charge discrepancy,Low,5.4,True,False,False
C110147,2024-08-14,IN,Call,Digital/App,Fraud/unauthorized charge handling,Low,7.7,True,False,False
C111503,2024-08-14,AU,Chat,Card Services,Billing/charge discrepancy,Low,2.4,True,False,False
C137392,2024-08-14,US,Email,Digital/App,Agent miscommunication,Medium,1.9,True,False,False
C103344,2024-08-14,IN,Call,Billing & Statements,Other,Low,4.1,True,False,False
C131677,2024-08-14,UK,Call,Travel & Lifestyle,Rewards/points not credited,Medium,3.5,True,False,True
C101841,2024-08-14,US,Social,Digital/App,Delayed dispute resolution,High,9.8,True,False,False
C134642,2024-08-14,IN,Call,Card Services,Rewards/points not credited,Low,3.9,True,False,True
C139968,2024-08-14,CA,Chat,Travel & Lifestyle,Delayed dispute resolution,Low,2.3,True,False,False
C126357,2024-08-14,UK,Call,Merchant Services,Delayed dispute resolution,Medium,19.6,True,True,False
C104047,2024-08-14,US,Call,Digital/App,Delayed dispute resolution,Low,3.0,True,False,False
C119491,2024-08-14,US,Chat,Billing & Statements,Other,Low,0.5,True,False,False
C102272,2024-08-14,AU,Email,Merchant Services,Billing/charge discrepancy,Low,4.7,True,False,False
C126331,2024-08-14,CA,Chat,Merchant Services,Delayed dispute resolution,High,6.3,True,False,False
C141470,2024-08-14,IN,Call,Billing & Statements,Fraud/unauthorized charge handling,Medium,9.1,True,False,False
C133019,2024-08-14,US,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,Low,7.1,True,False,False
C122996,2024-08-14,AU,Call,Digital/App,App/digital platform bug,High,13.7,True,True,False
C117299,2024-08-14,IN,Call,Travel & Lifestyle,App/digital platform bug,Medium,25.2,False,True,False
C118901,2024-08-14,IN,Chat,Travel & Lifestyle,Agent miscommunication,Medium,5.1,True,True,False
C147880,2024-08-14,US,Call,Billing & Statements,Delayed dispute resolution,Low,10.3,False,False,False
C124029,2024-08-14,UK,Email,Travel & Lifestyle,Agent miscommunication,Medium,5.1,True,False,True
C140176,2024-08-14,US,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,15.6,True,False,False
C103948,2024-08-14,US,Call,Rewards & Membership,Delayed dispute resolution,Low,6.9,True,False,False
C115955,2024-08-14,US,Email,Merchant Services,App/digital platform bug,Low,21.0,True,False,False
C128642,2024-08-14,US,Call,Merchant Services,App/digital platform bug,Medium,10.0,True,False,False
C118577,2024-08-14,US,Call,Card Services,Rewards/points not credited,Low,2.3,True,False,False
C116065,2024-08-15,US,Call,Travel & Lifestyle,Privacy/data handling concern,Low,1.7,True,False,False
C111575,2024-08-15,US,Call,Billing & Statements,Delayed dispute resolution,Low,10.0,True,False,False
C103415,2024-08-15,UK,Chat,Card Services,Delayed dispute resolution,Low,25.4,True,True,False
C119414,2024-08-15,US,Call,Merchant Services,Billing/charge discrepancy,Medium,1.8,True,False,False
C107591,2024-08-15,IN,Social,Card Services,Billing/charge discrepancy,Low,0.5,True,False,False
C142006,2024-08-15,MX,Chat,Billing & Statements,Agent miscommunication,High,1.5,True,False,False
C138508,2024-08-15,IN,Email,Digital/App,Delayed dispute resolution,High,4.5,True,True,False
C141841,2024-08-15,UK,Chat,Billing & Statements,Other,High,2.7,True,False,False
C117026,2024-08-15,CA,Call,Rewards & Membership,Delayed dispute resolution,Medium,10.6,True,False,True
C101472,2024-08-15,UK,Call,Merchant Services,Rewards/points not credited,Low,1.9,True,False,False
C125370,2024-08-15,UK,Social,Billing & Statements,Billing/charge discrepancy,Low,9.5,True,False,False
C131725,2024-08-15,IN,Call,Card Services,Other,Medium,4.3,True,True,False
C129774,2024-08-15,IN,Email,Billing & Statements,Billing/charge discrepancy,High,3.7,True,False,False
C131953,2024-08-15,UK,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,Low,14.2,True,False,False
C136646,2024-08-15,US,Call,Rewards & Membership,Delayed dispute resolution,Low,17.5,True,False,False
C121939,2024-08-15,US,Call,Merchant Services,Delayed dispute resolution,Medium,9.4,True,False,True
C113143,2024-08-15,UK,Call,Card Services,Rewards/points not credited,Medium,3.2,True,False,True
C130150,2024-08-15,UK,Chat,Digital/App,App/digital platform bug,High,9.5,True,False,False
C104710,2024-08-15,MX,Chat,Card Services,Privacy/data handling concern,Low,1.1,False,False,False
C115430,2024-08-15,UK,Email,Billing & Statements,Agent miscommunication,High,1.8,True,False,False
C147692,2024-08-15,IN,Call,Digital/App,Rewards/points not credited,Medium,1.5,True,False,False
C107058,2024-08-15,AU,Call,Merchant Services,Billing/charge discrepancy,Medium,2.3,True,False,True
C146117,2024-08-15,US,Email,Merchant Services,Billing/charge discrepancy,Low,4.0,True,False,False
C135412,2024-08-15,SG,Chat,Digital/App,Delayed dispute resolution,Low,15.3,False,False,False
C124162,2024-08-15,IN,Call,Card Services,App/digital platform bug,Medium,34.4,True,True,False
C147428,2024-08-15,CA,Chat,Digital/App,Billing/charge discrepancy,Low,0.6,True,False,False
C126923,2024-08-15,CA,Call,Rewards & Membership,App/digital platform bug,Low,4.8,True,False,False
C120880,2024-08-15,UK,Call,Merchant Services,Delayed dispute resolution,Low,5.8,True,False,False
C101241,2024-08-15,US,Email,Rewards & Membership,Privacy/data handling concern,High,2.0,True,False,True
C109024,2024-08-15,US,Call,Billing & Statements,Billing/charge discrepancy,Low,5.0,True,False,False
C124279,2024-08-15,AU,Email,Rewards & Membership,Delayed dispute resolution,Low,8.0,True,False,False
C118705,2024-08-15,SG,Call,Travel & Lifestyle,App/digital platform bug,Medium,13.4,True,False,False
C112502,2024-08-15,US,Call,Merchant Services,Delayed dispute resolution,Low,6.8,True,False,False
C133058,2024-08-15,US,Call,Merchant Services,Fraud/unauthorized charge handling,High,16.1,True,False,False
C130815,2024-08-15,CA,Call,Rewards & Membership,Billing/charge discrepancy,Medium,6.2,True,True,False
C105149,2024-08-15,UK,Call,Travel & Lifestyle,App/digital platform bug,Low,7.1,True,False,True
C119851,2024-08-15,US,Social,Digital/App,Rewards/points not credited,Low,2.5,True,False,False
C146389,2024-08-15,UK,Call,Billing & Statements,Fraud/unauthorized charge handling,Low,5.6,True,False,False
C127964,2024-08-15,US,Call,Billing & Statements,Billing/charge discrepancy,Low,2.6,True,False,False
C140239,2024-08-15,CA,Call,Digital/App,Rewards/points not credited,Low,5.4,True,False,False
C144746,2024-08-15,US,Call,Digital/App,Billing/charge discrepancy,Low,2.5,True,False,False
C124890,2024-08-15,UK,Chat,Digital/App,Agent miscommunication,High,0.8,True,False,False
C136201,2024-08-15,US,Call,Billing & Statements,Billing/charge discrepancy,Low,3.9,True,False,False
C148686,2024-08-15,SG,Call,Travel & Lifestyle,Delayed dispute resolution,Low,6.2,True,False,False
C103805,2024-08-15,SG,Call,Rewards & Membership,Privacy/data handling concern,Medium,3.5,True,False,False
C114807,2024-08-15,SG,Call,Travel & Lifestyle,Delayed dispute resolution,Low,2.0,True,False,False
C118430,2024-08-15,UK,Email,Travel & Lifestyle,Delayed dispute resolution,Low,4.9,False,False,False
C129093,2024-08-15,US,Call,Card Services,Billing/charge discrepancy,Low,1.1,True,False,False
C121686,2024-08-15,US,Chat,Card Services,Privacy/data handling concern,Medium,3.4,True,False,False
C112305,2024-08-15,US,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.8,True,False,False
C149729,2024-08-16,IN,Social,Merchant Services,Billing/charge discrepancy,Low,5.5,True,True,False
C149256,2024-08-16,US,Call,Merchant Services,Billing/charge discrepancy,Low,6.9,True,False,False
C122695,2024-08-16,IN,Call,Digital/App,App/digital platform bug,Medium,11.2,True,False,False
C108222,2024-08-16,IN,Email,Travel & Lifestyle,Billing/charge discrepancy,Low,2.1,True,False,False
C117475,2024-08-16,CA,Call,Merchant Services,Billing/charge discrepancy,Medium,1.1,True,False,False
C101884,2024-08-16,MX,Chat,Billing & Statements,Delayed dispute resolution,Medium,2.5,True,False,False
C128536,2024-08-16,US,Chat,Billing & Statements,Delayed dispute resolution,Low,8.6,True,False,False
C128496,2024-08-16,IN,Call,Billing & Statements,Agent miscommunication,Medium,6.1,True,False,True
C139752,2024-08-16,US,Chat,Card Services,Billing/charge discrepancy,Low,2.4,True,False,False
C127452,2024-08-16,IN,Call,Merchant Services,Privacy/data handling concern,Medium,1.6,True,False,True
C137677,2024-08-16,MX,Chat,Billing & Statements,Privacy/data handling concern,Medium,1.4,True,True,False
C122447,2024-08-16,CA,Email,Merchant Services,Fraud/unauthorized charge handling,Low,0.9,True,False,False
C106923,2024-08-16,AU,Call,Card Services,Billing/charge discrepancy,High,2.0,True,False,False
C101064,2024-08-16,AU,Email,Digital/App,Agent miscommunication,High,3.8,True,False,False
C111170,2024-08-16,SG,Call,Travel & Lifestyle,Other,Medium,2.0,True,False,False
C106825,2024-08-16,US,Email,Digital/App,Fraud/unauthorized charge handling,Medium,28.0,True,False,True
C115312,2024-08-16,US,Call,Billing & Statements,Delayed dispute resolution,Low,2.0,True,False,False
C101683,2024-08-16,CA,Social,Merchant Services,Fraud/unauthorized charge handling,Low,5.5,True,False,False
C111691,2024-08-16,UK,Email,Travel & Lifestyle,Delayed dispute resolution,Low,13.9,True,False,False
C117425,2024-08-16,AU,Email,Card Services,Other,Low,1.4,True,False,False
C109327,2024-08-16,US,Chat,Digital/App,Billing/charge discrepancy,Medium,5.5,True,False,False
C143587,2024-08-16,US,Chat,Billing & Statements,Rewards/points not credited,Low,6.2,True,False,False
C101289,2024-08-16,IN,Chat,Card Services,Rewards/points not credited,Medium,4.2,True,False,True
C137948,2024-08-16,IN,Social,Travel & Lifestyle,Rewards/points not credited,High,5.9,True,False,True
C137164,2024-08-16,CA,Call,Digital/App,Agent miscommunication,Medium,5.2,True,False,False
C134276,2024-08-16,US,Chat,Merchant Services,Delayed dispute resolution,Medium,8.7,True,False,False
C137043,2024-08-16,UK,Social,Merchant Services,Billing/charge discrepancy,Low,10.9,True,True,False
C113396,2024-08-16,UK,Chat,Merchant Services,Privacy/data handling concern,Low,2.4,True,False,False
C111777,2024-08-16,US,Social,Billing & Statements,Delayed dispute resolution,High,1.7,True,False,False
C103566,2024-08-16,US,Email,Card Services,Agent miscommunication,Low,4.5,True,False,False
C112421,2024-08-16,US,Call,Card Services,Fraud/unauthorized charge handling,High,3.6,False,False,True
